H;88;;;00016757;20120325;20120317;20120323;
S;074;2;23.08;15.86;
D;21606414;高露洁冰爽茶香牙膏120g盒;604;
S;028;1;8.46;14.18;
S;054;1;8.46;14.54;
S;074;2;16.92;14.18;
D;21606416;高露洁冰爽柠檬牙膏180g盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21606418;高露洁冰爽薄荷牙膏180g盒;604;
S;028;11;126.92;14.46;
S;054;13;150;14.46;
S;074;1;11.54;18.72;
D;21606420;高露洁冰爽薄荷牙膏120g盒;604;
S;028;2;16.92;14.18;
S;054;2;16.92;15.25;
S;074;2;16.92;14.18;
D;21606979;高露洁冰爽牙膏清香柠檬香型120g支;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21661635;高露洁专效抗敏美白牙膏110g支;604;
S;028;8;204.44;17.39;
S;054;2;51.11;17.39;
S;074;0;0;;
D;21685233;高露洁三效优护牙刷三支装;605;
S;028;3;32.05;12.39;
S;054;4;42.74;12.4;
S;074;5;53.42;12.39;
D;21685262;高露洁三效优护牙刷单支装;605;
S;028;0;0;;
S;054;3;13.33;12;
S;074;1;4.44;11.94;
D;21685264;高露洁冰爽劲白牙膏180克7折装;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21685266;高露洁冰爽茶香牙膏180克7折装;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21685268;高露洁冰爽薄荷牙膏180克7折装;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21705716;高露洁三效优护牙刷买2送2促销装;605;
S;028;70;559.91;2.11;
S;054;63;500.77;1.49;
S;074;8;64.44;2.79;
D;21806520;高露洁牙刷旋风护龈三支装盒;605;
S;028;1;17.52;21.35;
S;054;0;0;;
S;074;0;0;;
D;21806522;高露洁牙刷旋风护龈单支装;605;
S;028;2;15.21;40.7;
S;054;1;7.61;40.74;
S;074;2;15.21;40.7;
D;21826334;高露洁多能呵护牙刷买2送2装;605;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;21876542;高露洁牙刷360炫动舒适送360牙膏促销装;605;
S;028;0;0;;
S;054;0;0;;
S;074;1;11.88;14.9;
D;21931863;高露洁360环动耀洁牙刷;605;
S;028;6;69.74;13.02;
S;054;6;69.74;13.02;
S;074;2;23.25;13.03;
D;21933157;高露洁贝齿清新茶健漱口水500ml;607;
S;028;4;98.46;14.08;
S;054;2;49.23;14.08;
S;074;0;0;;
D;21933197;高露洁贝齿清新茶健漱口水250ml;607;
S;028;4;55.38;13.47;
S;054;5;69.23;13.48;
S;074;0;0;;
D;21969429;高露洁牙膏激凉薄荷120g支;604;
S;028;7;59.23;14.2;
S;054;0;0;;
S;074;1;8.46;14.18;
D;21969439;高露洁牙膏激凉薄荷180g支;604;
S;028;6;69.23;14.46;
S;054;12;138.46;14.46;
S;074;3;34.62;14.47;
D;21970825;高露洁蜘蛛侠儿童牙刷;610;
S;028;1;13.25;14.57;
S;054;1;13.25;14.57;
S;074;0;0;;
D;21972136;高露洁芭比儿童牙刷;610;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;22014058;高露洁360环动耀洁牙刷第二支半价装;605;
S;028;48;816.41;10.81;
S;054;16;272.14;10.81;
S;074;1;17.01;10.82;
D;22053144;高露洁牙膏冰爽双支装送水晶果汁壶(激凉+劲白)120g盒;604;
S;028;0;0;;
S;054;1;15.3;4.97;
S;074;0;0;;
D;22053146;高露洁牙膏冰爽双支装送水晶果汁壶(薄荷+茶香)120g盒;604;
S;028;0;0;;
S;054;3;45.9;4.9;
S;074;0;0;;
D;22059931;高露洁专业按摩型牙刷两支特惠装;605;
S;028;11;168.29;1.89;
S;054;6;91.79;1.88;
S;074;0;0;;
D;22059933;高露洁专业按摩型牙刷;605;
S;028;1;11.03;19.76;
S;054;2;22.05;19.73;
S;074;0;0;;
D;22059941;高露洁冰爽牙刷买2送1装;605;
S;028;1;19.57;19.88;
S;054;2;39.15;19.9;
S;074;0;0;;
D;22061687;高露洁牙膏专效抗敏多重保护110g盒;604;
S;028;0;0;;
S;054;2;51.11;19.9;
S;074;1;25.56;17.25;
D;22086412;高露洁蜘蛛侠儿童牙膏牙刷送水壶;609;
S;028;1;19.66;14.24;
S;054;2;39.32;14.24;
S;074;1;19.66;14.24;
D;22086414;高露洁芭比儿童牙膏牙刷送水壶;609;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;22107947;高露洁360度牙膏健康牙龈140g;604;
S;028;3;34.62;12.39;
S;054;3;34.62;12.39;
S;074;1;11.54;12.39;
D;22107949;高露洁360度牙膏健洁140g;604;
S;028;6;69.23;12.38;
S;054;7;80.77;12.38;
S;074;0;0;;
D;22107957;高露洁360度牙膏美白140g;604;
S;028;7;80.77;12.38;
S;054;0;0;;
S;074;3;34.62;12.39;
D;22107959;高露洁360度牙膏美白200g;604;
S;028;6;89.74;14.89;
S;054;3;44.87;14.89;
S;074;2;29.91;14.88;
D;22107961;高露洁360度牙膏健康牙龈200g;604;
S;028;10;149.57;14.89;
S;054;4;59.83;14.89;
S;074;1;14.96;14.91;
D;22107963;高露洁360度牙膏健洁200g;604;
S;028;3;44.87;14.89;
